"_id",Single-player,Multi-player,Valve Anti-Cheat enabled,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Commentary available,Cross-Platform Multiplayer,Stats,Co-op,Steam Workshop,Includes level editor,Full controller support,Steam Leaderboards,Online Multi-Player,Online Co-op,Shared/Split Screen,Local Multi-Player,Local Co-op,Mods,MMO,In-App Purchases,VR Support,Downloadable Content,Native Steam Controller Support,Steam Turn Notifications,Game demo,SteamVR Collectibles,Mods (require HL2)
476,3904,29,0,3875,0,0,1934,2831,0,0,0,0,29,0,0,1970,0,0,0,0,0,0,0,29,0,1073,0,0,0,0,0,0
166,1681,5386,5384,7367,5812,44,1448,1641,2,0,2,5404,0,5679,286,5594,67,2,0,9,0,0,0,0,5384,0,0,0,0,0,0,0
1317,0,3,3,3,3,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
177,3507,2964,203,3884,3248,353,522,3145,54,0,1685,491,1583,1506,194,2214,0,392,338,448,84,84,0,153,597,0,0,0,0,0,0,0
1318,1234,1361,0,408,1211,0,1035,185,0,0,185,185,1361,253,68,340,14,0,0,326,0,0,0,0,1035,0,0,0,0,0,0,0
1319,611,0,0,611,0,0,611,0,0,0,0,0,0,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,638,98,0,638,638,120,9,540,0,120,98,120,542,218,120,531,132,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0
1321,89,90,0,90,171,0,82,89,1,0,90,90,89,90,1,89,1,1,0,89,1,0,0,82,0,0,0,0,0,0,0,0
516,544,525,0,544,384,0,142,85,0,0,0,0,308,0,0,478,0,0,19,0,0,0,0,76,0,0,0,0,0,0,0,0
225,28,2069,2041,2069,2041,0,0,0,0,0,0,2041,28,2041,0,2041,0,0,0,0,0,0,0,0,2041,0,0,0,0,0,0,0
1322,39,1824,2909,1510,2933,21,1459,42,0,0,0,1821,3,1471,3,1489,18,356,3,0,0,0,0,1441,2909,0,0,0,0,0,0,0
